,#Predicted Rank,#Simplicity,#Uniqueness,(1 ounce) squares German sweet chocolate - chopped,(18.25 ounce) package chocolate chip cake mix with pudding,(3.5 oz)vanilla pudding mix,(6 ounce) package almond brickle chips,3 ounce package instant pistachio pudding mix,BakingSoda(tsp),Brown Sugar (c),Butter (c),Chocolate Chip Muffin Mix (pkg),Egg,Egg White,European cookie spread (c),Flour (c),Kentucky Bourbon (tbsp),NESTLE TOLL HOUSE Delightfulls Mint Filled Morsels (c),PB chips (c),Stevia Extract In The Raw (c),Sugar (c),Sweetened Condensed Milk (oz),Tennessee whiskey (tbsp),Vanilla (tsp),almond butter (c),almond extract (tsp),almond flour (c),almond milk (tbsp),applesauce (c),baking powder (tsp),basic cookie mix,bitter sweet chocolate (c),blueberries (c),bread flour (c),buttermilk (c),buttermilk baking mix (c),butterscotch-flavored chips (c),cake flour (c),candy-coated chocolate pieces (c),canola oil (tbsp),caramel morsels (pieces),carrots shredded (c),chia seeds (c),chickpea flour (c),chocolate chunks (oz),chocolate covered caramel candy (pieces),chocolate covered toffee (oz),chocolate fudge cake mix (pkg),chocolate syrup (c),chopped almonds (c),chopped dried apricot (c),chopped maraschino cherries (c),chopped pecans (c),chopped peppermint candy (c),coarse salt (tsp),cocoa nibs (c),cocoa powder (c),coconut extract (tsp),coconut flour (c),coconut oil (tbsp),coconut sugar (c),coffee flavored liqueur (tbsp),confectioners sugar (c),corn flakes (c),corn syrup (tbsp),cornflakes cereal - curmbled (c),cornstarch (tbsp),cream (tbsp),cream cheese (oz),cream of tartar (tsp),creamy PB (oz),crips rice cereal (c),crunchy peanut butter (c),crushed pistachios (c),dairy-free and gluten-free chocolate chips,dark chocolate chips (oz),dried cranberries (c),dried tart cranberries (c),egg substitute (c),egg yolk,finely chopped chipotle peppers in adobo sauce (tsp),finely chopped crystallized ginger (c),finely chopped zucchini (c),firmly packed potato starch (c),flaked coconut (c),gluten free flour (c),gluten-free baking mix (c),golden raisins (c),green tea powder [matcha] (tbsp),ground allspice (tsp),ground cardamom (tsp),ground cinnamon (tsp),ground cloves (tsp),ground flax seeds (c),ground ginger (tsp),ground graham cracker crumbs (c),ground mace (tsp),ground nutmeg (tsp),ground white pepper (tsp),half and half (tbsp),hemp seed hearts (c),honey (tbsp),hot water (tsp),instant butterscotch pudding mix,instant espresso coffee powder (tbsp),kiwi pureed,macadamia nuts chopped (c),maple extract (tsp),maple syrup (c),maple-cured bacon chopped (piece),mashed avocado (c),mashed bananas (c),matzo cake meal (c),melted butter (c),melted dark chocolate (oz),melted semisweet chocolate chips (oz),milk (tbsp),milk chocolate candy kisses - unwrapped - softened,milk chocolate chips (c),mini marshmallows (c),mint chocolate chips (c),molasses (c),nut and seed trail mix (c),oats (c),orange extract (tsp),orange juice (tbsp),orange zest (tbsp),peppermint extract (tsp),plain yogurt,port wine (c),powdered milk (c),powdered protein supplement (scoop),prepared granola (c),pumpkin pie spice (tsp),pumpkin puree (oz),pureed prunes (tbsp),raisins (c),red food coloring (tbsp),salt (tsp),semisweet chocolate chips (oz),shortening (c),sifted whole wheat pastry flour (c),sorghum flour (c),sour cream (c),soy milk (c),soybean oil (tbsp),spice cake mix (oz),sweet potato puree (c),tapioca flour (c),toasted oat cereal smashed (c),toffee baking bits (c),turbinado sugar (c),unsweetened baking chocolate (oz),vanilla chips (oz),vegan choc. Chips (tbsp),vegetable oil (tbsp),walnuts (c),water (tsp),white cake mix (pkg),white chocolate chips (oz),white chocolate pudding mix (3.3 oz pkg),white rice flour (c),white vinegar (tsp),xanthan gum (tsp),yellow cake mix (pkg)
0,3.7599999999999993,10.05415026245381,8.106228315314096,0.1875,0.0625,0.125,0.0625,0.0,1.5,1.0,0.625,0.25,2.75,0.125,0.0625,1.375,0.1875,0.0625,0.1875,0.0625,0.25,0.3125,0.0,0.875,0.0625,0.125,0.1875,0.125,0.0,0.8125,0.0625,0.0625,0.0,0.1875,0.0625,0.1875,0.0625,0.0,0.0625,0.1875,2.75,0.0,0.0,0.0625,2.0625,0.8125,0.125,0.0625,0.0625,0.0625,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,1.0,0.0625,0.0,0.25,0.0,0.3125,0.0625,0.25,0.25,1.0,0.0625,0.5625,0.125,0.0625,0.0625,0.125,2.375,0.0625,0.0,0.0625,0.125,0.125,0.0,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.0625,0.5625,0.0,0.0625,0.0,0.0,0.0,0.125,0.0625,0.125,0.0625,0.0,0.0,0.125,0.25,0.125,0.1875,0.0,0.0,0.3125,0.0,0.0625,0.125,0.0625,0.875,0.0625,3.5,2.5,0.5625,0.0,0.0,0.0,0.0625,0.625,0.0625,0.625,0.0625,0.125,0.0,0.0,0.0625,0.1875,0.0625,0.0625,2.4375,0.0,0.125,0.0625,0.3125,4.5625,0.125,0.0625,0.0,0.0,0.0625,0.0625,1.1875,0.0,0.0625,0.0625,0.0625,0.0,0.375,1.375,0.5,0.6875,1.3125,1.875,0.0,2.75,0.0,0.0,0.0625,0.0625,0.125
1,3.864,15.971410003503134,7.919023771905223,0.625,0.0,0.0625,0.0,0.0,1.0625,0.25,1.1875,0.1875,2.125,0.125,0.0,1.625,0.125,0.125,0.6875,0.0,1.0625,0.3125,0.0,2.625,0.1875,0.0625,0.125,0.25,0.0625,0.8125,0.125,0.0625,0.0,0.125,0.0,0.1875,0.0,0.0,0.0625,0.125,0.0625,0.0,0.0,0.1875,1.5,1.3125,0.9375,0.0625,0.0,0.1875,0.0,0.0625,0.125,0.0625,0.0,0.0,0.0625,0.1875,0.0625,0.0,0.0625,0.1875,0.1875,0.125,0.1875,0.0625,0.25,0.1875,0.1875,0.5625,2.6875,0.3125,0.0625,0.125,0.0,1.8125,0.25,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.25,0.0,0.125,0.0,0.0,0.1875,0.125,0.0625,0.0625,0.0,0.0625,0.125,0.0625,0.25,0.0625,0.0625,0.3125,0.1875,0.6875,0.0625,0.0,0.0625,0.0,0.4375,0.0,0.125,0.125,0.1875,0.3125,0.0625,2.9375,5.1875,0.0625,0.0625,0.125,0.0,0.0,1.6875,0.0625,0.1875,0.0,0.1875,0.0625,0.0,0.0,1.0,0.3125,0.1875,0.375,0.125,0.25,0.0625,0.1875,13.1875,0.125,0.3125,0.0625,0.125,0.0625,0.0,0.5625,0.0,0.0625,0.0,0.0,0.0625,0.1875,1.0625,0.125,1.0,0.125,1.0625,0.0,0.4375,0.0,0.0,0.0,0.375,0.0
2,3.993,14.200709709377206,8.794751630944447,0.5625,0.0,0.0,0.0,0.0,0.1875,0.0,1.1875,0.0,4.0625,0.375,0.0625,4.3125,0.0625,0.0,0.125,0.125,0.0625,0.0,0.125,1.625,0.0,0.0,0.375,0.0625,0.0625,0.8125,0.125,0.125,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.6875,0.0625,0.0,0.0,1.5625,1.5625,0.1875,0.0625,0.0,0.3125,0.0,0.125,0.0,0.0625,0.0625,0.0,0.125,0.0625,0.125,1.9375,0.0625,0.0625,0.375,0.125,0.0,0.0625,0.5,0.0625,0.125,0.0625,1.375,0.1875,0.0625,0.0625,0.125,0.0,0.125,0.0625,0.0,0.0,0.25,0.0625,0.0,0.0625,0.1875,0.125,0.1875,0.0,0.0625,0.0625,0.0625,0.6875,0.125,0.0625,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.375,0.0625,0.125,0.0,0.0,0.375,0.0,0.6875,3.75,0.1875,0.125,0.0625,0.0625,0.0625,0.9375,0.0625,0.3125,0.1875,0.125,0.0625,0.0625,0.0,1.0,0.125,0.1875,5.0,0.0625,0.375,0.25,0.4375,9.375,0.125,0.0625,0.0625,0.125,0.0,0.0,0.5625,0.0625,0.0,0.125,0.0625,0.0,0.4375,0.5,0.0625,3.625,0.6875,1.5625,0.125,1.1875,0.0,0.0625,0.0625,0.0625,0.0625
3,4.027,26.92023808865739,12.466674325978039,0.1875,0.0625,0.0625,0.0625,0.3125,0.8125,0.3125,0.5,0.0625,2.625,0.5,0.0,2.625,0.0,0.125,0.0625,0.0,0.5,0.1875,0.0,1.375,0.1875,0.0,0.25,0.0625,0.0,0.4375,0.0,0.0,0.0,0.0625,0.0625,0.1875,0.0,0.0625,0.0,0.0625,0.25,0.0625,0.0,0.125,2.125,9.5625,0.1875,0.125,0.0625,0.1875,0.0,0.0625,0.0625,0.0625,0.1875,0.0625,0.125,0.125,0.0,0.25,0.125,0.25,0.1875,0.125,0.5625,0.0625,0.5625,0.1875,0.3125,0.4375,0.0625,0.25,0.125,0.0,0.0625,0.4375,0.125,0.0,0.0,0.25,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.25,0.0,0.1875,0.0625,0.0625,0.3125,0.0625,0.0,0.0,0.0625,0.0625,0.1875,0.0625,0.1875,0.125,0.4375,0.125,0.0,0.375,0.0,0.1875,0.0625,0.0,0.125,0.0,0.0625,0.125,0.1875,0.625,0.0,5.625,4.625,0.0625,0.0,0.0,0.0625,0.0,0.5,0.0625,0.625,0.0,0.25,0.0625,0.0625,0.0,0.875,0.0625,0.0625,1.1875,0.0625,0.0625,0.0,0.125,23.1875,0.9375,0.0625,0.125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.25,0.8125,0.3125,2.5625,0.6875,1.1875,0.0,2.0625,0.0625,0.125,0.0,0.0,0.0625
4,4.07,12.03250805110888,8.780304664417972,0.1875,0.0625,0.125,0.0625,0.1875,1.75,0.5,0.6875,0.0,0.5625,0.25,0.0625,2.5,0.4375,0.0,0.1875,0.0,0.25,0.8125,0.0625,0.25,0.0625,0.125,0.625,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0625,0.5625,0.0,0.0625,0.0625,1.4375,0.9375,0.625,0.125,0.0625,0.0,0.0625,0.0,0.125,0.0625,0.1875,0.0,0.125,0.125,0.0,0.1875,0.0625,0.0625,0.0625,0.0,0.5,0.0,0.625,0.4375,0.375,0.375,1.75,0.625,0.0,0.0,0.0,1.3125,0.0625,0.0625,0.0625,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.9375,0.0625,0.0,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.0625,0.125,2.0,0.125,0.125,0.125,0.125,0.0625,0.0625,0.3125,0.0625,0.125,0.0625,0.0,0.8125,0.0625,6.8125,1.4375,0.0,0.0,0.25,0.0,0.0,1.375,0.0625,0.3125,0.0625,0.25,0.0625,0.0625,0.0,0.6875,0.125,0.0,3.625,0.0625,0.25,0.0,0.625,6.8125,0.1875,0.375,0.0625,0.0,0.0625,0.0,0.8125,0.0,0.0625,0.0,0.0625,0.0,0.125,0.4375,0.1875,1.375,0.5625,0.5,0.0,1.4375,0.0625,0.125,0.0,0.0,0.125
5,4.145,22.614897606445183,9.298647415081401,0.1875,0.0,0.5625,0.0625,0.125,1.5625,0.25,1.0625,0.0625,0.625,0.4375,0.0625,1.25,0.3125,0.1875,0.4375,0.0,1.5625,1.0,0.0625,1.25,0.0,0.0625,0.1875,0.1875,0.0625,1.25,0.3125,0.125,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,2.5625,0.0,0.0625,0.0625,1.9375,1.75,0.6875,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.125,0.0,0.125,0.0,0.0625,1.4375,0.1875,0.125,0.375,0.0625,0.25,0.0,0.125,0.125,0.5,0.25,0.5625,0.375,0.0625,0.1875,0.0625,1.75,0.125,0.1875,0.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0625,0.0625,0.0625,0.0625,0.6875,0.0,0.0,0.0625,0.0625,0.0625,0.125,0.0,0.125,0.0625,0.8125,1.0,0.0,0.1875,0.0,0.0625,0.125,0.0,0.6875,0.0625,0.0625,0.0625,0.0625,0.1875,0.0,1.6875,1.5,0.625,0.3125,0.0625,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.1875,0.0625,0.0625,0.0,0.125,0.125,0.125,4.625,0.0625,0.0625,0.25,0.5,20.75,0.4375,0.125,0.125,0.0625,0.0625,0.0625,1.4375,0.0625,0.0625,0.125,0.0625,0.0625,0.0,0.25,0.0625,2.5,0.5,0.75,0.0625,2.75,0.0,0.0,0.0625,0.1875,0.125
6,4.305999999999999,21.33118682235004,9.364033919737796,0.375,0.0,0.1875,0.1875,0.0625,0.875,0.0,0.875,0.0625,1.5625,1.375,0.0,2.375,0.9375,0.125,0.125,0.125,1.0,1.4375,0.0625,2.8125,0.3125,0.0,0.5,0.125,0.125,0.625,0.25,0.0625,0.0625,0.0625,0.0,0.125,0.0,0.0625,0.0,0.0625,1.3125,0.0,0.0,0.1875,1.6875,3.625,0.4375,0.0,0.0,0.0625,0.0625,0.0,0.3125,0.0625,0.125,0.0625,0.0625,0.0,0.0625,1.3125,0.0625,0.0,0.375,0.0625,0.0,0.0,1.25,0.1875,0.375,0.4375,1.6875,0.125,0.0625,0.0,0.0,1.25,0.125,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.125,0.1875,0.25,0.1875,0.125,0.125,0.0,0.0,0.375,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.3125,0.375,0.0,0.875,0.0625,0.0,0.0625,0.0,0.4375,0.0,0.0625,0.125,0.1875,0.0,0.0625,0.125,5.75,0.0625,0.0625,0.125,0.0625,0.0625,1.625,0.0625,0.1875,0.0625,0.25,0.0625,0.0,0.0625,0.5625,0.1875,0.0625,1.0625,0.0625,0.4375,0.0,0.75,18.9375,0.3125,0.9375,0.125,0.0625,0.0625,0.0625,1.9375,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.75,0.0625,0.375,0.4375,0.0,0.0625,0.0625,0.0625,0.0,0.375,0.0
7,4.3660000000000005,11.638936538618982,9.832534960527726,0.3125,0.125,0.0,0.0625,0.0,0.875,0.875,0.0625,0.0625,1.375,0.0,0.0,3.125,0.3125,0.125,0.5,0.0,0.0625,2.0,0.0,0.8125,0.0625,0.125,0.75,0.0625,0.0,0.3125,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.125,1.0625,0.0625,0.0625,0.25,0.75,1.875,1.0625,0.0625,0.0,0.1875,0.0,0.0625,0.3125,0.0625,0.125,0.0625,0.1875,0.125,0.0,0.5625,0.125,0.375,0.1875,0.0,0.5625,0.125,1.0,0.125,0.9375,0.0625,0.6875,0.0,0.0625,0.0625,0.0625,3.8125,0.0,0.0,0.0625,0.3125,0.1875,0.0625,0.0625,0.0,0.0625,0.3125,0.1875,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.0,0.0625,0.0625,0.0625,0.0,0.0,1.5,1.0,0.0,0.0625,0.0625,0.125,0.125,0.0,0.375,0.0,0.0625,0.125,0.125,0.5625,0.125,6.9375,4.5,0.75,0.125,0.0,0.0625,0.0625,1.125,0.0,0.625,0.0,0.1875,0.0,0.0,0.0,0.0625,0.0,0.0625,1.3125,0.125,0.125,0.125,0.25,1.3125,0.5625,0.25,0.125,0.0625,0.0625,0.0625,0.3125,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.5625,0.8125,0.0,0.5625,2.9375,0.0625,1.75,0.0625,0.0625,0.0,0.0625,0.0
8,4.5,22.220398145622863,10.401134253051444,0.25,0.0625,0.25,0.125,0.0625,1.5625,0.0,0.875,0.1875,1.3125,0.0625,0.0,3.1875,0.375,0.0,0.4375,0.0,0.9375,0.625,0.0625,0.5625,0.125,0.0625,0.25,0.0,0.0625,0.25,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0625,0.0,0.125,2.0,0.0625,0.0625,0.125,1.1875,3.3125,0.5625,0.0625,0.0625,0.0625,0.0625,0.0,0.125,0.0625,0.0625,0.0625,0.25,0.0625,0.0,2.625,0.1875,0.375,0.25,0.0,0.75,0.0,0.6875,0.3125,0.3125,0.375,0.25,0.25,0.0625,0.0625,0.0,1.5625,0.0625,0.0625,0.0625,0.1875,0.125,0.0625,0.0,0.0625,0.125,0.1875,0.0625,0.0625,0.125,0.0,0.1875,0.5,0.0,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.0,1.8125,0.5,0.125,0.375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0625,1.875,1.4375,0.4375,0.1875,0.0625,0.0625,0.0625,0.625,0.0625,0.625,0.125,0.0625,0.0625,0.0625,0.0,0.25,0.125,0.125,0.3125,0.0625,0.0,0.0625,0.25,18.875,0.375,0.5625,0.0625,0.0625,0.0625,0.0,0.1875,0.0,0.0625,0.0,0.0625,0.0625,0.125,0.3125,0.625,0.125,0.4375,6.9375,0.0625,5.625,0.0625,0.0625,0.0,0.0625,0.0
9,4.553,7.016164372361867,6.668988866387467,0.25,0.0625,0.0,0.0625,0.0,0.9375,0.9375,0.8125,0.1875,1.375,0.0625,0.0,0.625,0.375,0.0,0.1875,0.0625,0.3125,0.3125,0.0625,1.25,0.0,0.0,0.3125,0.0625,0.0625,0.375,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.5,0.0625,0.0,0.0625,0.6875,1.8125,1.0,0.0625,0.0,0.0625,0.125,0.0,0.25,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.5,0.1875,0.125,0.1875,0.0625,1.25,0.0625,0.5625,0.625,0.25,0.5,1.0625,0.0625,0.0,0.0625,0.0,0.125,0.0625,0.0625,0.0,0.0,0.125,0.0,0.0,0.0625,0.25,0.25,0.0625,0.0625,0.0,0.0625,0.0625,0.5625,0.0625,0.0,0.125,0.0,0.0625,0.375,0.0,0.3125,0.0,0.4375,1.3125,0.0,0.0625,0.0625,0.1875,0.0,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.1875,0.0625,0.6875,4.875,0.375,0.125,0.0,0.125,0.0625,0.8125,0.0,0.4375,0.0,0.0,0.0,0.0,0.0625,0.1875,0.0625,0.125,1.375,0.1875,0.125,0.0625,0.0,0.1875,0.3125,0.375,0.25,0.0,0.0,0.0,0.3125,0.0,0.0625,0.0625,0.0,0.0,0.4375,0.3125,1.0,0.125,0.0,0.3125,0.0625,1.0,0.0625,0.0625,0.0,0.3125,0.0625
