Recipe Name,Rating,Calories,Sugar (c),baking powder (tsp),Flour (c),chocolate chunks (oz),egg yolk,Egg White,egg substitute (c),Egg,melted butter (c),Butter (c),Brown Sugar (c),Vanilla (tsp),BakingSoda(tsp),salt (tsp),coarse salt (tsp),shortening (c),semisweet chocolate chips (oz),melted semisweet chocolate chips (oz),oats (c),macadamia nuts chopped (c),walnuts (c),melted dark chocolate (oz),dark chocolate chips (oz),chocolate covered caramel candy (pieces),chocolate covered toffee (oz),PB chips (c),white chocolate chips (oz),creamy PB (oz),water (tsp),hot water (tsp),chopped pecans (c),cocoa powder (c),milk chocolate chips (c),ground ginger (tsp),milk (tbsp),crips rice cereal (c),chocolate syrup (c),ground cinnamon (tsp),basic cookie mix,ground cloves (tsp),ground nutmeg (tsp),vanilla chips (oz),bread flour (c),coconut extract (tsp),flaked coconut (c),applesauce (c),peppermint extract (tsp),crushed pistachios (c),pumpkin puree (oz),mini marshmallows (c),raisins (c),corn flakes (c),coconut oil (tbsp),yellow cake mix (pkg),white cake mix (pkg),sour cream (c),vegetable oil (tbsp),instant butterscotch pudding mix,confectioners sugar (c),powdered milk (c),dried tart cranberries (c),almond extract (tsp),honey (tbsp),cream cheese (oz),3 ounce package instant pistachio pudding mix,mint chocolate chips (c),Kentucky Bourbon (tbsp),spice cake mix (oz),corn syrup (tbsp),green tea powder [matcha] (tbsp),bitter sweet chocolate (c),caramel morsels (pieces),molasses (c),(3.5 oz)vanilla pudding mix,cream of tartar (tsp),white chocolate pudding mix (3.3 oz pkg),plain yogurt,carrots shredded (c),dried cranberries (c),sifted whole wheat pastry flour (c),chopped almonds (c),cake flour (c),red food coloring (tbsp),sweet potato puree (c),orange juice (tbsp),gluten free flour (c),almond flour (c),Stevia Extract In The Raw (c),cornstarch (tbsp),kiwi pureed,toasted oat cereal smashed (c),cream (tbsp),Chocolate Chip Muffin Mix (pkg),unsweetened baking chocolate (oz),Sweetened Condensed Milk (oz),maple-cured bacon chopped (piece),coconut sugar (c),chia seeds (c),ground flax seeds (c),cocoa nibs (c),chocolate fudge cake mix (pkg),soybean oil (tbsp),butterscotch-flavored chips (c),chopped maraschino cherries (c),coffee flavored liqueur (tbsp),powdered protein supplement (scoop),port wine (c),sorghum flour (c),white rice flour (c),xanthan gum (tsp),hemp seed hearts (c),coconut flour (c),maple syrup (c),ground graham cracker crumbs (c),(18.25 ounce) package chocolate chip cake mix with pudding,pumpkin pie spice (tsp),almond butter (c),maple extract (tsp),finely chopped zucchini (c),half and half (tbsp),dairy-free and gluten-free chocolate chips,nut and seed trail mix (c),(1 ounce) squares German sweet chocolate - chopped,matzo cake meal (c),firmly packed potato starch (c),crunchy peanut butter (c),mashed bananas (c),European cookie spread (c),instant espresso coffee powder (tbsp),cornflakes cereal - curmbled (c),ground mace (tsp),mashed avocado (c),finely chopped crystallized ginger (c),NESTLE TOLL HOUSE Delightfulls Mint Filled Morsels (c),toffee baking bits (c),Tennessee whiskey (tbsp),tapioca flour (c),pureed prunes (tbsp),orange extract (tsp),gluten-free baking mix (c),buttermilk (c),ground allspice (tsp),orange zest (tbsp),ground white pepper (tsp),chickpea flour (c),vegan choc. Chips (tbsp),canola oil (tbsp),soy milk (c),milk chocolate candy kisses - unwrapped - softened,blueberries (c),finely chopped chipotle peppers in adobo sauce (tsp),ground cardamom (tsp),almond milk (tbsp),turbinado sugar (c),chopped dried apricot (c),(6 ounce) package almond brickle chips,candy-coated chocolate pieces (c),white vinegar (tsp),chopped peppermint candy (c),prepared granola (c),buttermilk baking mix (c),golden raisins (c)
5 Ingredient Easy Chocolate Chip Cookies,2.77,181,0,0,3,0,0,0,0,2,0,1,0.75,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A to Z Everything but the Kitchen Sink Chocolate Chip Cookies,4.39,135,1,0,1.5,0,0,0,0,2,0,1,1.5,1.5,1.25,1,0,0,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,0,0.125,0.125,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron's Chocolate Chunk Oatmeal Cookies,4.2,199,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0.66,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolutely Sinful Chocolate Chocolate Chip Cookies,4.2,214,1.25,1,2,0,0,0,0,2,0,0.5,0,1,0.5,0.25,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allison's Supreme Chocolate Chip Cookies,4.64,294,0.75,0,2,0,0,0,0,2,0,0.5,0.75,1,1,1,0,0.5,16,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ally's Chocolate Chip Cookies,3.46,478,0.5,0,2,0,0,0,0,2,0,0,1,1,1,1,0,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazing White Chocolate Chip Pistachio Cookies,4.83,224,0.75,0,2.5,0,0,0,0,2,1,0,0.75,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amena's Triple Chocolate Chip Cookies,4.61,182,0.5,0,1.017,0,0,0,0,1,0,0.5,0.25,0.5,0.5,0.5,0,0,0,0.324,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amy's Chocolate Chip Cookies,4.63,236,0.25,0,2.25,0,0,0,0,2,0,0,0.75,1,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Chocolate Chip Cookies,3.33,345,2,2,6,0,0,0,0,4,0,0,0,2,2,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
