Recipe Name,Directions
5 Ingredient Easy Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Sift flour and brown sugar into a bowl; stir in eggs. Mix butter into flour mixture until dough is creamy; fold in chocolate chips. Spoon dough onto a baking sheet, keeping them about 3 inches apart. Bake in the preheated oven until slightly brown, 10 to 15 minutes. Cool."
A to Z Everything but the Kitchen Sink Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets. Sift together flour, baking soda, salt, cinnamon, mace, nutmeg, and cloves; set aside.In a large bowl, cream together butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in milk and vanilla. Gradually mix in the sifted ingredients until well blended. Using a wooden spoon, stir in the cornflakes, oats, coconut, chocolate chips, and walnuts. Roll the dough into walnut sized balls, and place 2 inches apart on prepared cookie sheets; flatten slightly. Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely. I found that slightly under baking these yields wonderfully chewy cookies!"
Aaron's Chocolate Chunk Oatmeal Cookies,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease cookie sheets. In a large bowl, stir together cake mix, instant pudding, and rolled oats. Add oil, sour cream, water, and vanilla; mix until smooth and well blended. Stir in chocolate chips. Roll dough into 1 1/2 inch balls, and place 2 inches apart on the prepared cookie sheets. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."
Absolutely Sinful Chocolate Chocolate Chip Cookies,"Preheat oven to 375  degrees F (190 degrees C). In the microwave or over a double boiler, melt unsweetened chocolate and butter together, stirring occasionally until smooth. Sift together flour, baking soda, baking powder, and salt; set aside.  In a medium bowl, beat sugar, eggs, and vanilla until light. Mix in the chocolate mixture until well blended. Stir in the sifted ingredients alternately with sour cream, then mix in chocolate chips. Drop by rounded tablespoonfuls onto ungreased cookie sheets. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely. Store in an airtight container."
Allison's Supreme Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease cookie sheets. In a large bowl, cream together the shortening, butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla and coffee liqueur. Combine the flour, baking soda, and salt; stir into the sugar mixture. Mix in the oats, chocolate chips, and walnuts. Roll tablespoonfuls of dough into balls, and place them 2 inches apart onto the prepared cookie sheets. Bake for 10 to 12 minutes in the preheated oven, or until golden. Cool on a wire rack for a few minutes before eating!"
Ally's Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Soak the rolled oats in the milk for at least ten minutes. Sift together the flour, baking soda and salt, set aside. In a medium bowl, cream together the margarine, brown sugar and white sugar. Stir in the eggs and vanilla. Add the sifted ingredients, and mix well. Then stir in the oat mixture and chocolate chips. Drop dough by heaping spoonfuls onto the prepared cookie sheets. Bake for 12 to 15 minutes in the preheated oven, until cookies are golden brown. Cool on baking sheets or remove to cool on wire racks."
Amazing White Chocolate Chip Pistachio Cookies,"Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper. Beat butter, brown sugar, and white sugar together in a large bowl using an electric mixer until light and fluffy. Add eggs 1 at a time, beating well after each addition; stir in vanilla extract. Mix flour, baking soda, and salt together in a separate bowl; gradually stir into the creamed butter mixture until dough is just mixed. Fold pistachios and white chocolate chips into the dough. Drop spoonfuls of dough onto the prepared baking sheet."
Amena's Triple Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with a silicon mat or parchment paper. Mash the butter, white sugar, and brown sugar together in a large mixing bowl with a spatula until creamy and smooth, 2 to 3 minutes. Add the egg and vanilla; whisk vigorously for 20 to 30 seconds. Whisk the flour, salt, and baking soda together in a small bowl; dump into the butter mixture and mix until just combined. Fold the semi sweet chocolate chips, white chocolate chips, and milk chocolate chips into the mixture. Arrange onto the prepared baking sheet using a small scoop or large spoon. Bake in the preheated oven until golden brown, about 10 minutes; remove from oven and allow to cool on the sheet for 10 minutes. Transfer to a wire rack to finish cooling completely."
Amy's Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). In a medium sized mixing bowl, combine flour and baking soda. Set aside. In another large mixing bowl, combine butter, white sugar, brown sugar, vanilla, and pudding mix. Beat until smooth and creamy. Beat in eggs. Gradually stir in flour mixture. Stir in chocolate chips. Drop batter by heaping teaspoonfuls, about 2 inches apart, onto an ungreased cookie sheet. Bake for 9 to 9 1/2 minutes, or until browned."
Angel Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Blend the shortening, sugar, eggs and vanilla until light and fluffy. Combine the flour, baking powder, baking soda, and cream of tartar. Add the flour mixture alternately with the milk to the shortening mixture. Fold in the chocolate chips. Drop by teaspoonfuls onto lightly greased cookie sheets.. Bake in preheated oven for 10 minutes or until barely light brown at the edges."
